OBJECTID,Join_Count,TARGET_FID,Id,osm_id,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,,,,X,Y
269,3,268,0,793545948,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",,,,113.938766 ,30.500262 
272,3,271,0,427738062,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.943352 ,30.538843 
273,3,272,0,427738061,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.943960 ,30.539101 
276,3,275,0,177081201,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G348""",,,,113.947089 ,30.704849 
277,4,276,0,177081174,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G348""",,,,113.947155 ,30.704758 
278,3,277,0,177081201,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G348""",,,,113.947210 ,30.704899 
279,4,278,0,177081174,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G348""",,,,113.947287 ,30.704808 
281,3,280,0,793545976,construction, , , , ,0,construction""=>""tertiary"",,,,113.948685 ,30.449303 
282,3,281,0,793545976,construction, , , , ,0,construction""=>""tertiary"",,,,113.948715 ,30.449381 
284,3,283,0,455189870,trunk, , , , ,8,"""foot""=>""yes"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G318""",,,,113.950668 ,30.458239 
285,4,284,0,998908894,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G318""",,,,113.951399 ,30.458211 
286,4,285,0,455189870,trunk, , , , ,8,"""foot""=>""yes"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G318""",,,,113.951405 ,30.458319 
287,3,286,0,998908894,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G318""",,,,113.951452 ,30.458206 
288,4,287,0,998908893,primary, , , , ,7,oneway""=>""yes"",,,,113.951478 ,30.458318 
289,3,288,0,998908898,primary, , , , ,7,oneway""=>""yes"",,,,113.951719 ,30.458905 
290,4,289,0,998908893,primary, , , , ,7,oneway""=>""yes"",,,,113.951853 ,30.459050 
292,4,291,0,104375112,primary, , , , ,7,ref""=>""S104"",,,,113.951983 ,30.459168 
294,4,293,0,104375112,primary, , , , ,7,ref""=>""S104"",,,,113.952108 ,30.459281 
298,3,297,0,455189870,trunk, , , , ,8,"""foot""=>""yes"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G318""",,,,113.952589 ,30.458287 
299,3,298,0,821932529,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.952731 ,30.540645 
301,3,300,0,177081201,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G348""",,,,113.953403 ,30.707531 
304,3,303,0,427738062,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.954156 ,30.540680 
307,3,306,0,793545974,secondary, , , , ,6,"""lanes""=>""2"",""name:en""=>""ZhuShanHu Avenue"",""name:zh""=>""?????"",""name:zh_pinyin""=>""ZhuShanHu DaDao"",""oneway""=>""yes""",,,,113.955106 ,30.448642 
308,4,307,0,793545959,construction, , , , ,0,construction""=>""tertiary"",,,,113.955116 ,30.448733 
309,4,308,0,793545959,construction, , , , ,0,construction""=>""tertiary"",,,,113.956102 ,30.457466 
310,3,309,0,793545959,construction, , , , ,0,construction""=>""tertiary"",,,,113.956111 ,30.457536 
311,4,310,0,104375112,primary, , , , ,7,ref""=>""S104"",,,,113.956211 ,30.460713 
312,3,311,0,116297956,motorway, , , , ,9,"""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.957004 ,30.458160 
316,3,315,0,186308217,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.959009 ,30.459414 
317,3,316,0,186308221,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.959737 ,30.458892 
320,4,319,0,116297954,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.960281 ,30.458109 
321,4,320,0,116297954,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.960332 ,30.458114 
322,4,321,0,116297952,motorway, , , , ,29,"""bridge""=>""yes"",""lanes""=>""2"",""layer""=>""1"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.960369 ,30.457997 
323,4,322,0,116297952,motorway, , , , ,29,"""bridge""=>""yes"",""lanes""=>""2"",""layer""=>""1"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.960417 ,30.458000 
325,3,324,0,116297952,motorway, , , , ,29,"""bridge""=>""yes"",""lanes""=>""2"",""layer""=>""1"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.960535 ,30.458009 
326,3,325,0,102993774,motorway, , , , ,9,"""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.962720 ,30.458468 
327,3,326,0,116297953,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.964232 ,30.458772 
330,3,329,0,809843290,secondary, , , , ,6, ,,,,113.966018 ,30.620056 
331,3,330,0,809843290,secondary, , , , ,6, ,,,,113.966900 ,30.619375 
334,3,333,0,353162184,secondary, , , , ,6,"""lanes""=>""2"",""oneway""=>""yes""",,,,113.967828 ,30.680054 
335,4,334,0,754943983,secondary, , , , ,6, ,,,,113.967942 ,30.680113 
336,3,335,0,809845110,secondary_link, , , , ,6, ,,,,113.968215 ,30.620018 
339,4,338,0,177081175,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""no"",""ref""=>""G348""",,,,113.968621 ,30.714059 
340,4,339,0,177081175,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""no"",""ref""=>""G348""",,,,113.968782 ,30.714129 
343,3,342,0,754943962,secondary, , , , ,6, ,,,,113.972595 ,30.711765 
344,3,343,0,177081175,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""no"",""ref""=>""G348""",,,,113.972620 ,30.715740 
345,4,344,0,754943966,secondary, , , , ,6,oneway""=>""yes"",,,,113.972644 ,30.712465 
346,4,345,0,754943966,secondary, , , , ,6,oneway""=>""yes"",,,,113.972681 ,30.712595 
347,4,346,0,754943964,secondary, , , , ,6,oneway""=>""yes"",,,,113.972863 ,30.712380 
348,4,347,0,754943964,secondary, , , , ,6,oneway""=>""yes"",,,,113.972905 ,30.712507 
349,3,348,0,754943966,secondary, , , , ,6,oneway""=>""yes"",,,,113.972972 ,30.713068 
352,3,351,0,333167355,motorway_link, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",,,,113.973111 ,30.712284 
353,4,352,0,438222737,primary, , , , ,7,surface""=>""asphalt"",,,,113.973523 ,30.583916 
354,4,353,0,104375112,primary, , , , ,7,ref""=>""S104"",,,,113.974109 ,30.493423 
355,4,354,0,104375112,primary, , , , ,7,ref""=>""S104"",,,,113.974135 ,30.493307 
357,3,356,0,754943963,secondary, , , , ,6,oneway""=>""yes"",,,,113.974521 ,30.707545 
358,3,357,0,120888874,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""name:en""=>""Hurong Expressway"",""name:zh""=>""????"",""oneway""=>""yes"",""ref""=>""G42""",,,,113.974926 ,30.711713 
361,3,360,0,299070339,secondary, , , , ,6, ,,,,113.976166 ,30.704890 
364,3,363,0,116184454,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""name:en""=>""Hurong Expressway"",""name:zh""=>""????"",""oneway""=>""yes"",""ref""=>""G42""",,,,113.976533 ,30.710917 
365,4,364,0,333167469,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.976916 ,30.710727 
366,4,365,0,333167476,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.976978 ,30.710696 
367,4,366,0,333167469,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.977015 ,30.710839 
368,4,367,0,333167476,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.977076 ,30.710813 
371,3,370,0,116184468,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.978298 ,30.712326 
372,3,371,0,333167476,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.978364 ,30.712309 
374,3,373,0,104375112,primary, , , , ,7,ref""=>""S104"",,,,113.979708 ,30.512029 
376,3,375,0,104375112,primary, , , , ,7,ref""=>""S104"",,,,113.979871 ,30.512239 
377,3,376,0,120888869,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""name:en""=>""Hurong Expressway"",""name:zh""=>""????"",""oneway""=>""yes"",""ref""=>""G42""",,,,113.980392 ,30.709254 
378,3,377,0,776078651,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.980637 ,30.715089 
379,3,378,0,333167455,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.980714 ,30.715000 
383,3,382,0,922273736,secondary, , , , ,6, ,,,,113.982280 ,30.304889 
384,4,383,0,438222737,primary, , , , ,7,surface""=>""asphalt"",,,,113.982385 ,30.585585 
387,3,386,0,177081175,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""no"",""ref""=>""G348""",,,,113.982811 ,30.719998 
390,3,389,0,922273737,secondary, , , , ,6, ,,,,113.983004 ,30.306217 
391,4,390,0,776078669,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""S106""",,,,113.983036 ,30.720047 
